ParticipantID,Painting,SelfReportedLiking,FI_Valence,FI_MaxEmotion,FI_MaxIntensity,GazeTime,GazePercent_Audio,Audio_AvgValence,Audio_DominantEmotion,Audio_DominantEmotionIntensity,Audio_EmotionSequence,SaccadeRate,EngagementLevel,ReactionTime
127,Picasso,6,0.0,neutral,0.0,44.94,73.63,-0.8,sadness,0.8,sadness;anger;joy;disgust;surprise,7.53,low,2.58
127,Pollock,3,-26.45,sadness,26.45,87.88,95.85,-12.89,sadness,15.58,sadness;anger;surprise;joy;disgust,6.88,low,6.9
127,de Chirico,7,0.0,neutral,0.0,43.32,85.69,-2.95,sadness,2.95,sadness;anger;joy;disgust;surprise,6.72,low,7.58
127,van Dongen,4,-28.21,sadness,28.21,70.36,85.51,-1.56,sadness,1.56,sadness;anger;joy;disgust;surprise,7.31,low,3.69
128,Braque,2,0.0,neutral,0.0,59.8,78.87,-5.85,sadness,6.22,sadness;anger;surprise;disgust;joy,7.19,low,6.03
128,Janco,6,0.0,neutral,0.0,63.4,96.6,-6.74,sadness,7.81,sadness;anger;surprise;joy;disgust,8.11,low,1.4
128,Klimt,5,0.0,neutral,0.0,78.44,90.16,-14.17,sadness,14.14,sadness;anger;disgust;surprise;joy,13.05,low,61.36
128,Picasso,7,0.0,neutral,0.0,57.54,95.77,-4.98,sadness,5.16,sadness;anger;surprise;joy;disgust,5.36,low,2.37
128,Pollock,2,0.0,neutral,0.0,55.46,63.03,-10.35,anger,11.9,anger;sadness;surprise;disgust;joy,6.41,low,5.42
128,de Chirico,5,-24.65,sadness,24.65,38.7,79.02,-7.49,anger,8.7,anger;sadness;surprise;joy;disgust,8.23,low,9.81
128,van Dongen,4,0.0,neutral,0.0,60.16,73.82,-7.32,anger,7.19,anger;sadness;disgust;joy;surprise,6.06,low,3.47
129,Braque,4,0.0,neutral,0.0,44.48,59.58,-1.91,anger,9.38,anger;surprise;sadness;joy;disgust,7.82,low,4.32
129,Janco,7,-22.86,anger,45.72,43.6,65.53,-2.43,anger,9.23,anger;surprise;sadness;joy;disgust,9.66,low,1.13
129,Klimt,5,-5.9,anger,38.98,76.88,86.19,5.08,surprise,19.36,surprise;anger;joy;sadness;disgust,10.65,low,3.74
129,Picasso,6,0.0,neutral,0.0,41.72,69.44,-4.77,anger,13.95,anger;surprise;sadness;joy;disgust,9.29,low,1.71
129,Pollock,2,0.0,neutral,0.0,73.4,83.75,1.71,surprise,14.78,surprise;anger;sadness;joy;disgust,6.01,low,6.41
129,de Chirico,7,-1.22,anger,26.07,39.5,80.91,-2.12,anger,6.86,anger;surprise;joy;sadness;disgust,7.77,low,4.95
129,van Dongen,7,-12.02,anger,24.05,62.36,76.67,-0.07,anger,7.49,anger;surprise;joy;sadness;disgust,6.67,low,2.46
130,Braque,4,0.0,neutral,0.0,41.1,88.27,1.58,surprise,3.16,surprise;joy;sadness;anger;disgust,7.26,low,6.96
130,Janco,6,0.0,neutral,0.0,63.9,96.53,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,7.48,low,2.72
130,Klimt,6,0.0,neutral,0.0,87.22,95.75,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,12.44,low,19.37
130,Picasso,2,0.0,neutral,0.0,56.64,92.04,1.2,surprise,2.4,surprise;joy;sadness;anger;disgust,6.09,low,2.57
130,Pollock,4,0.0,neutral,0.0,9.18,83.31,0.21,joy,1.1,joy;anger;surprise;sadness;disgust,7.56,low,2.67
130,de Chirico,7,0.0,neutral,0.0,47.4,96.87,0.68,surprise,1.35,surprise;joy;sadness;anger;disgust,7.03,low,7.73
130,van Dongen,3,0.0,neutral,0.0,6.0,66.15,1.02,surprise,2.05,surprise;joy;sadness;anger;disgust,8.31,low,4.92
131,Braque,2,0.0,neutral,0.0,54.9,73.35,2.3,surprise,5.45,surprise;anger;joy;sadness;disgust,6.19,low,5.79
131,Janco,7,0.0,neutral,0.0,51.78,78.32,2.16,surprise,5.36,surprise;anger;joy;sadness;disgust,6.5,low,58.16
131,Klimt,4,0.0,neutral,0.0,79.84,90.09,8.94,surprise,18.87,surprise;anger;joy;sadness;disgust,10.88,low,17.89
