ParticipantID,Painting,TimeAtTheTile,TileTimePercent_Audio,SelfReportedLiking,GazeTime,GazePercent_Audio,SaccadeRate,EngagementLevel,ReactionTime
146,Braque,87.82,117.58,23.5,60.56,77.83,7.7,low,8.45
146,de Chirico,60.12,123.59,29.0,34.62,68.9,6.85,low,7.33
146,Janco,75.08,115.08,43.5,36.46,53.97,10.67,low,2.73
146,Picasso,66.99,111.46,37.5,21.5,34.65,6.52,low,2.15
125,Klimt,132.32,152.03,38.5,96.1,96.02,10.66,low,20.75
125,Pollock,109.95,125.97,14.0,83.44,93.19,5.36,low,8.06
125,van Dongen,89.46,110.77,14.0,75.78,91.55,5.46,low,2.82
125,Braque,86.14,115.32,37.5,61.62,80.53,5.74,low,6.41
125,de Chirico,59.96,123.26,46.5,42.64,83.38,6.33,low,6.39
125,Janco,77.18,118.28,43.5,63.42,93.96,7.9,low,2.45
125,Picasso,68.55,114.06,20.5,53.18,86.55,6.56,low,2.64
122,Klimt,157.84,181.33,7.5,78.3,85.45,13.77,low,51.71
122,Pollock,105.66,121.06,51.5,73.9,84.55,7.28,low,6.23
122,van Dongen,93.23,115.42,3.5,54.46,65.48,8.62,low,6.45
122,Braque,82.89,110.97,53.0,62.14,82.24,8.21,low,5.17
122,de Chirico,57.49,118.19,29.0,44.36,90.54,8.68,low,5.4
122,Janco,74.07,113.51,24.5,60.82,91.63,10.61,low,1.25
122,Picasso,67.35,112.06,37.5,36.02,58.72,6.89,low,3.07
114,Klimt,138.31,158.92,7.5,63.26,69.75,25.96,low,42.41
114,Pollock,98.06,112.35,42.0,20.6,22.44,9.95,low,3.12
114,van Dongen,89.47,110.76,27.5,27.68,32.84,27.84,low,3.54
114,Braque,84.63,113.3,53.0,38.9,50.91,26.31,low,6.39
114,de Chirico,60.19,123.77,46.5,11.9,23.49,25.52,low,8.2
114,Janco,72.59,111.27,43.5,40.44,60.66,27.31,low,1.54
114,Picasso,67.54,112.38,10.5,22.16,35.69,27.56,low,2.27
113,Klimt,99.31,114.1,20.0,72.08,81.82,10.62,low,5.66
113,Pollock,106.52,122.05,42.0,60.14,67.43,3.98,moderate,4.32
113,van Dongen,86.8,107.47,51.0,57.6,70.78,3.9,moderate,3.92
113,Braque,84.76,113.47,23.5,56.74,80.18,4.15,moderate,5.57
113,de Chirico,58.93,121.15,46.5,44.5,90.42,3.25,moderate,5.92
113,Janco,72.2,110.67,13.5,58.68,89.97,6.18,low,1.78
113,Picasso,66.42,110.51,7.5,37.6,62.58,3.35,moderate,2.8
147,Klimt,101.43,116.55,38.5,73.54,82.14,13.57,low,8.88
147,Pollock,120.67,138.25,14.0,66.96,68.69,8.72,low,2.96
147,van Dongen,88.85,110.01,41.0,56.28,67.8,7.38,low,4.85
147,Braque,84.87,113.62,37.5,49.82,64.85,7.81,low,7.47
147,de Chirico,60.53,124.45,14.0,47.06,93.34,4.79,moderate,9.31
147,Janco,131.77,201.97,24.5,55.56,83.04,7.41,low,61.31
147,Picasso,66.91,111.32,51.0,38.04,63.32,6.18,low,4.78
149,Klimt,133.76,153.68,20.0,86.9,99.08,7.1,low,37.33
149,Pollock,107.35,122.98,5.5,87.44,96.77,2.65,high,8.4
149,van Dongen,89.64,110.97,27.5,74.32,91.21,3.75,moderate,3.59
149,Braque,85.82,114.9,4.0,60.92,80.45,3.91,moderate,6.07
149,de Chirico,65.12,133.88,14.0,43.36,86.6,5.67,low,11.15
149,Janco,132.74,203.47,13.5,44.04,65.92,6.13,low,1.5
149,Picasso,65.77,109.43,37.5,55.4,91.68,3.94,moderate,1.46
